time,delta,elbow_angle,elbow_velocity,elbow_torque
0.013,0.013,157.5,2423.076923076923,-0.06888301782571618
0.074,0.061,180.0,2496.847414880202,-2.2043642384652358E-17
0.091,0.017,180.0,2496.847414880202,-2.2043642384652358E-17
0.107,0.016,180.0,2496.847414880202,-2.2043642384652358E-17
0.123,0.016,180.0,2496.847414880202,-2.2043642384652358E-17
0.14,0.017,180.0,73.77049180327869,-2.2043642384652358E-17
0.156,0.016,180.0,0.0,-2.2043642384652358E-17
0.173,0.017,180.0,0.0,-2.2043642384652358E-17
0.189,0.016,180.0,0.0,-2.2043642384652358E-17
0.205,0.016,180.0,0.0,-2.2043642384652358E-17
0.222,0.017,180.0,0.0,-2.2043642384652358E-17
0.238,0.016,180.0,0.0,-2.2043642384652358E-17
0.255,0.017,180.0,0.0,-2.2043642384652358E-17
0.271,0.016,180.25,3.125,7.853956712543117E-4
0.291,0.02,180.0,0.625,-2.2043642384652358E-17
0.308,0.017,180.0,0.625,-2.2043642384652358E-17
0.324,0.016,180.0,0.625,-2.2043642384652358E-17
0.341,0.017,180.0,0.625,-2.2043642384652358E-17
0.357,0.016,180.0,-2.5,-2.2043642384652358E-17
0.373,0.016,180.0,0.0,-2.2043642384652358E-17
0.39,0.017,180.0,0.0,-2.2043642384652358E-17
0.406,0.016,180.0,0.0,-2.2043642384652358E-17
0.422,0.016,180.0,0.0,-2.2043642384652358E-17
0.439,0.017,180.0,0.0,-2.2043642384652358E-17
0.455,0.016,180.25,3.125,7.853956712543117E-4
0.472,0.017,180.0,0.18382352941176486,-2.2043642384652358E-17
0.488,0.016,180.0,0.18382352941176486,-2.2043642384652358E-17
0.504,0.016,180.0,0.18382352941176486,-2.2043642384652358E-17
0.521,0.017,180.0,0.18382352941176486,-2.2043642384652358E-17
0.537,0.016,180.0,-2.941176470588235,-2.2043642384652358E-17
0.554,0.017,180.0,0.0,-2.2043642384652358E-17
0.57,0.016,180.0,0.0,-2.2043642384652358E-17
0.586,0.016,180.0,0.0,-2.2043642384652358E-17
