time,delta,elbow_angle,elbow_velocity,elbow_torque,motor_current
16.392,-161.303,180.75,0.05486568755695802,-0.5632865606642984,-0.03838465073529412
0.07,-16.322,225.5,-0.49347397669987336,-0.7715124326268729,-0.022079886642156862
0.087,0.017,225.0,-6.375826917876344,-0.7689339828220179,-0.022795553768382354
0.103,0.016,225.0,-6.375826917876344,-0.7689339828220179,-0.023977960324754903
0.119,0.016,225.0,-6.375826917876344,-0.7689339828220179,-0.023977960324754903
0.136,0.017,225.5,-0.5483396642568316,-0.7715124326268729,-0.024164656096813727
0.152,0.016,225.0,-6.25,-0.7689339828220179,-0.023915728400735293
0.169,0.017,225.0,-0.3676470588235297,-0.7689339828220179,-0.024226888020833334
0.185,0.016,225.0,-0.3676470588235297,-0.7689339828220179,-0.024818091299019608
0.201,0.016,225.0,-0.3676470588235297,-0.7689339828220179,-0.024724743412990195
0.218,0.017,225.0,-6.25,-0.7689339828220179,-0.024631395526960784
0.234,0.016,225.0,0.0,-0.7689339828220179,-0.02587603400735294
0.25,0.016,225.25,3.125,-0.7702221936565072,-0.026124961703431374
0.267,0.017,225.25,3.125,-0.7702221936565072,-0.024226888020833334
0.283,0.016,225.0,0.0,-0.7689339828220179,-0.026405005361519608
0.3,0.017,225.0,0.0,-0.7689339828220179,-0.023822380514705883
0.316,0.016,225.5,6.25,-0.7715124326268729,-0.024102424172794117
0.332,0.016,225.0,-3.125,-0.7689339828220179,-0.025907149969362744
0.349,0.017,225.0,-3.125,-0.7689339828220179,-0.02572045419730392
0.365,0.016,225.5,6.25,-0.7715124326268729,-0.025658222273284313
0.382,0.017,225.0,0.3676470588235297,-0.7689339828220179,-0.025813802083333334
0.398,0.016,225.0,-5.882352941176469,-0.7689339828220179,-0.025907149969362744
0.414,0.016,225.0,0.3676470588235297,-0.7689339828220179,-0.026093845741421567
0.431,0.017,225.0,0.3676470588235297,-0.7689339828220179,-0.025844918045343137
0.447,0.016,225.0,-5.88235294117647,-0.7689339828220179,-0.024382467830882354
0.463,0.016,225.0,0.0,-0.7689339828220179,-0.026405005361519608
0.48,0.017,225.0,0.0,-0.7689339828220179,-0.02435135186887255
0.496,0.016,225.5,6.25,-0.7715124326268729,-0.024071308210784313
0.513,0.017,225.25,3.3088235294117654,-0.7702221936565072,-0.02572045419730392
0.529,0.016,225.25,3.3088235294117654,-0.7702221936565072,-0.025658222273284313
0.545,0.016,225.0,0.18382352941176486,-0.7689339828220179,-0.02643612132352941
0.562,0.017,225.0,0.18382352941176486,-0.7689339828220179,-0.025907149969362744
0.578,0.016,225.0,-6.066176470588235,-0.7689339828220179,-0.025813802083333334
0.594,0.016,225.0,-3.125,-0.7689339828220179,-0.02578268612132353
0.611,0.017,225.25,-0.18382352941176486,-0.7702221936565072,-0.023977960324754903
0.627,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.026218309589460784
0.644,0.017,225.0,-0.18382352941176486,-0.7689339828220179,-0.026218309589460784
0.66,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.025813802083333334
0.676,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.026062729779411764
0.693,0.017,225.0,-3.125,-0.7689339828220179,-0.025658222273284313
0.709,0.016,225.0,0.0,-0.7689339828220179,-0.026000497855392157
0.726,0.017,225.0,0.0,-0.7689339828220179,-0.025907149969362744
0.742,0.016,225.0,0.0,-0.7689339828220179,-0.026156077665441178
0.758,0.016,225.0,0.0,-0.7689339828220179,-0.025969381893382354
0.775,0.017,225.0,0.0,-0.7689339828220179,-0.026062729779411764
0.791,0.016,225.0,0.0,-0.7689339828220179,-0.024226888020833334
0.807,0.016,225.0,0.0,-0.7689339828220179,-0.024320235906862744
0.824,0.017,225.0,0.0,-0.7689339828220179,-0.025751570159313727
0.84,0.016,225.0,0.0,-0.7689339828220179,-0.024320235906862744
0.857,0.017,225.0,0.0,-0.7689339828220179,-0.02587603400735294
0.873,0.016,225.0,0.0,-0.7689339828220179,-0.026840628829656862
0.889,0.016,225.0,0.0,-0.7689339828220179,-0.025191482843137256
0.909,0.02,225.0,0.0,-0.7689339828220179,-0.025564874387254903
0.926,0.017,225.0,0.0,-0.7689339828220179,-0.0263427734375
0.943,0.017,225.0,0.0,-0.7689339828220179,-0.026529469209558825
0.959,0.016,225.0,0.0,-0.7689339828220179,-0.025347062653186276
0.975,0.016,225.5,6.25,-0.7715124326268729,-0.02404019224877451
0.992,0.017,225.25,3.3088235294117654,-0.7702221936565072,-0.024009076286764706
1.008,0.016,225.75,9.558823529411764,-0.7728047084863019,-0.024258003982843137
1.024,0.016,225.0,0.18382352941176522,-0.7689339828220179,-0.02643612132352941
1.04,0.016,225.0,0.18382352941176522,-0.7689339828220179,-0.026000497855392157
1.057,0.017,225.0,-6.066176470588235,-0.7689339828220179,-0.026405005361519608
1.073,0.016,225.0,-3.125,-0.7689339828220179,-0.02587603400735294
1.089,0.016,225.0,-9.375,-0.7689339828220179,-0.02562710631127451
1.106,0.017,225.0,0.0,-0.7689339828220179,-0.026124961703431374
1.122,0.016,225.0,0.0,-0.7689339828220179,-0.02578268612132353
1.138,0.016,225.0,0.0,-0.7689339828220179,-0.026000497855392157
1.155,0.017,225.0,0.0,-0.7689339828220179,-0.024755859375
1.171,0.016,225.0,0.0,-0.7689339828220179,-0.026156077665441178
1.187,0.016,225.0,0.0,-0.7689339828220179,-0.025969381893382354
1.204,0.017,225.5,5.88235294117647,-0.7715124326268729,-0.025689338235294117
1.22,0.016,225.0,-0.3676470588235297,-0.7689339828220179,-0.025440410539215686
1.237,0.017,225.0,-0.3676470588235297,-0.7689339828220179,-0.025907149969362744
1.253,0.016,225.25,2.75735294117647,-0.7702221936565072,-0.025595990349264706
1.269,0.016,225.0,-0.3676470588235297,-0.7689339828220179,-0.025253714767156862
1.286,0.017,225.0,-6.25,-0.7689339828220179,-0.02562710631127451
1.302,0.016,225.0,0.0,-0.7689339828220179,-0.025098134957107842
1.318,0.016,225.0,0.0,-0.7689339828220179,-0.025564874387254903
1.335,0.017,225.0,-3.125,-0.7689339828220179,-0.025595990349264706
1.351,0.016,225.25,3.125,-0.7702221936565072,-0.02562710631127451
1.368,0.017,225.0,0.18382352941176486,-0.7689339828220179,-0.025969381893382354
1.384,0.016,225.0,0.18382352941176486,-0.7689339828220179,-0.02522259880514706
1.4,0.016,225.25,3.3088235294117654,-0.7702221936565072,-0.025284830729166666
1.417,0.017,225.25,3.3088235294117654,-0.7702221936565072,-0.02587603400735294
1.433,0.016,225.0,-2.941176470588235,-0.7689339828220179,-0.026156077665441178
1.45,0.017,225.0,0.0,-0.7689339828220179,-0.026311657475490195
1.466,0.016,225.5,6.25,-0.7715124326268729,-0.02628054151348039
1.482,0.016,225.0,-3.125,-0.7689339828220179,-0.025907149969362744
1.499,0.017,225.0,-3.125,-0.7689339828220179,-0.026311657475490195
1.515,0.016,225.0,0.0,-0.7689339828220179,-0.02593826593137255
1.531,0.016,225.0,0.0,-0.7689339828220179,-0.025440410539215686
1.548,0.017,224.75,-9.191176470588236,-0.7676477913316047,-0.026373889399509805
1.564,0.016,225.0,0.18382352941176486,-0.7689339828220179,-0.025813802083333334
1.581,0.017,225.0,0.18382352941176486,-0.7689339828220179,-0.025440410539215686
1.597,0.016,225.0,0.18382352941176486,-0.7689339828220179,-0.025813802083333334
1.613,0.016,225.5,6.433823529411765,-0.7715124326268729,-0.025813802083333334
1.63,0.017,225.25,6.433823529411765,-0.7702221936565072,-0.026249425551470588
1.646,0.016,225.5,6.433823529411765,-0.7715124326268729,-0.02656058517156863
1.663,0.017,225.0,0.5514705882352949,-0.7689339828220179,-0.02562710631127451
1.679,0.016,225.0,0.5514705882352949,-0.7689339828220179,-0.02649835324754902
1.695,0.016,225.0,-5.698529411764706,-0.7689339828220179,-0.025440410539215686
1.712,0.017,225.0,-2.75735294117647,-0.7689339828220179,-0.02578268612132353
1.728,0.016,225.0,-5.88235294117647,-0.7689339828220179,-0.026000497855392157
1.744,0.016,225.25,3.125,-0.7702221936565072,-0.02628054151348039
1.761,0.017,225.25,3.125,-0.7702221936565072,-0.02547152650122549
1.777,0.016,225.0,0.0,-0.7689339828220179,-0.026000497855392157
1.794,0.017,225.25,2.941176470588235,-0.7702221936565072,-0.025409294577205883
1.81,0.016,225.5,6.066176470588235,-0.7715124326268729,-0.02618719362745098
1.826,0.016,225.25,-0.18382352941176486,-0.7702221936565072,-0.025658222273284313
1.843,0.017,225.5,2.75735294117647,-0.7715124326268729,-0.025813802083333334
1.859,0.016,225.5,5.882352941176469,-0.7715124326268729,-0.026218309589460784
1.876,0.017,225.25,0.0,-0.7702221936565072,-0.026373889399509805
1.892,0.016,225.0,-6.25,-0.7689339828220179,-0.02593826593137255
1.908,0.016,225.0,-3.1249999999999996,-0.7689339828220179,-0.02649835324754902
1.925,0.017,225.0,-6.066176470588235,-0.7689339828220179,-0.025844918045343137
1.941,0.016,225.0,-6.066176470588235,-0.7689339828220179,-0.026124961703431374
1.957,0.016,225.0,-3.125,-0.7689339828220179,-0.02572045419730392
1.974,0.017,225.0,0.0,-0.7689339828220179,-0.02587603400735294
1.99,0.016,225.5,6.25,-0.7715124326268729,-0.025440410539215686
2.007,0.017,225.0,0.3676470588235297,-0.7689339828220179,-0.02531594669117647
2.023,0.016,225.0,0.3676470588235297,-0.7689339828220179,-0.025440410539215686
2.039,0.016,225.0,0.3676470588235297,-0.7689339828220179,-0.026373889399509805
2.056,0.017,225.25,3.3088235294117645,-0.7702221936565072,-0.026156077665441178
2.072,0.016,225.0,-6.066176470588235,-0.7689339828220179,-0.025440410539215686
2.089,0.017,225.0,-0.18382352941176486,-0.7689339828220179,-0.02572045419730392
2.105,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.025284830729166666
2.121,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.02593826593137255
2.138,0.017,225.0,-3.125,-0.7689339828220179,-0.026311657475490195
2.154,0.016,225.0,0.0,-0.7689339828220179,-0.0255337584252451
2.17,0.016,225.0,0.0,-0.7689339828220179,-0.025347062653186276
2.187,0.017,225.0,0.0,-0.7689339828220179,-0.025658222273284313
2.203,0.016,225.25,3.125,-0.7702221936565072,-0.026124961703431374
2.22,0.017,225.25,3.125,-0.7702221936565072,-0.025689338235294117
2.236,0.016,225.75,9.375,-0.7728047084863019,-0.025440410539215686
2.252,0.016,225.0,0.0,-0.7689339828220179,-0.02603161381740196
2.269,0.017,225.0,0.0,-0.7689339828220179,-0.025844918045343137
2.285,0.016,225.0,-3.125,-0.7689339828220179,-0.02643612132352941
2.301,0.016,225.0,-3.125,-0.7689339828220179,-0.02643612132352941
2.317,0.016,225.5,-3.125,-0.7715124326268729,-0.02618719362745098
2.333,0.016,225.0,0.0,-0.7689339828220179,-0.025564874387254903
2.351,0.018,225.25,2.7777777777777772,-0.7702221936565072,-0.02587603400735294
2.366,0.015,225.0,-0.5555555555555557,-0.7689339828220179,-0.025440410539215686
2.383,0.017,225.0,-0.5555555555555557,-0.7689339828220179,-0.02572045419730392
2.399,0.016,225.0,-6.805555555555555,-0.7689339828220179,-0.025751570159313727
2.415,0.016,225.0,-0.5555555555555557,-0.7689339828220179,-0.026093845741421567
2.432,0.017,225.5,2.5490196078431366,-0.7715124326268729,-0.025035903033088235
2.448,0.016,225.0,-0.3676470588235297,-0.7689339828220179,-0.026218309589460784
2.464,0.016,225.0,-0.3676470588235297,-0.7689339828220179,-0.025689338235294117
2.481,0.017,225.25,2.5735294117647056,-0.7702221936565072,-0.02578268612132353
2.497,0.016,225.25,2.5735294117647056,-0.7702221936565072,-0.025564874387254903
2.513,0.016,225.0,-6.433823529411765,-0.7689339828220179,-0.026062729779411764
2.53,0.017,225.0,-0.18382352941176486,-0.7689339828220179,-0.025595990349264706
2.546,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.0255337584252451
2.563,0.017,225.0,-3.125,-0.7689339828220179,-0.025347062653186276
2.579,0.016,225.0,-3.125,-0.7689339828220179,-0.025751570159313727
2.595,0.016,225.0,0.0,-0.7689339828220179,-0.025595990349264706
2.612,0.017,225.0,0.0,-0.7689339828220179,-0.026062729779411764
2.628,0.016,225.0,0.0,-0.7689339828220179,-0.026093845741421567
2.645,0.017,225.0,0.0,-0.7689339828220179,-0.02537817861519608
2.661,0.016,225.0,0.0,-0.7689339828220179,-0.02593826593137255
2.677,0.016,225.5,6.25,-0.7715124326268729,-0.025689338235294117
2.694,0.017,225.5,6.25,-0.7715124326268729,-0.02628054151348039
2.71,0.016,225.0,0.0,-0.7689339828220179,-0.025409294577205883
2.726,0.016,225.0,0.0,-0.7689339828220179,-0.0255337584252451
2.743,0.017,225.0,0.0,-0.7689339828220179,-0.02547152650122549
2.759,0.016,225.0,-6.25,-0.7689339828220179,-0.026311657475490195
2.776,0.017,225.0,-6.25,-0.7689339828220179,-0.02603161381740196
2.792,0.016,225.25,3.125,-0.7702221936565072,-0.02603161381740196
2.808,0.016,225.25,3.125,-0.7702221936565072,-0.025440410539215686
2.825,0.017,225.0,0.18382352941176486,-0.7689339828220179,-0.026093845741421567
2.841,0.016,225.5,6.433823529411765,-0.7715124326268729,-0.02587603400735294
2.858,0.017,225.5,6.433823529411765,-0.7715124326268729,-0.0255337584252451
2.874,0.016,225.0,-2.941176470588235,-0.7689339828220179,-0.025658222273284313
2.89,0.016,225.25,0.18382352941176486,-0.7702221936565072,-0.025658222273284313
2.907,0.017,225.25,3.125,-0.7702221936565072,-0.025751570159313727
2.923,0.016,225.0,-6.25,-0.7689339828220179,-0.025751570159313727
2.939,0.016,225.0,-6.25,-0.7689339828220179,-0.026218309589460784
2.956,0.017,225.0,0.0,-0.7689339828220179,-0.025160366881127452
2.972,0.016,225.5,3.125,-0.7715124326268729,-0.024942555147058825
2.989,0.017,225.0,-2.75735294117647,-0.7689339828220179,-0.025844918045343137
3.005,0.016,225.0,0.3676470588235297,-0.7689339828220179,-0.026685049019607842
3.021,0.016,225.5,6.617647058823531,-0.7715124326268729,-0.026249425551470588
3.038,0.017,225.0,0.7352941176470601,-0.7689339828220179,-0.02643612132352941
3.054,0.016,225.0,-5.51470588235294,-0.7689339828220179,-0.025595990349264706
3.071,0.017,225.25,3.3088235294117654,-0.7702221936565072,-0.025595990349264706
3.087,0.016,225.25,3.3088235294117654,-0.7702221936565072,-0.02578268612132353
3.103,0.016,225.0,-6.066176470588235,-0.7689339828220179,-0.02578268612132353
3.12,0.017,225.0,-0.18382352941176486,-0.7689339828220179,-0.02618719362745098
3.136,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.025813802083333334
3.152,0.016,225.0,-3.125,-0.7689339828220179,-0.025502642463235293
3.169,0.017,225.0,-3.125,-0.7689339828220179,-0.02547152650122549
3.185,0.016,225.0,0.0,-0.7689339828220179,-0.025502642463235293
3.202,0.017,225.0,0.0,-0.7689339828220179,-0.025658222273284313
3.218,0.016,225.0,0.0,-0.7689339828220179,-0.02572045419730392
3.234,0.016,225.5,6.25,-0.7715124326268729,-0.025564874387254903
3.251,0.017,225.0,0.3676470588235297,-0.7689339828220179,-0.025440410539215686
3.267,0.016,225.0,0.3676470588235297,-0.7689339828220179,-0.02587603400735294
3.284,0.017,225.5,6.25,-0.7715124326268729,-0.02618719362745098
3.3,0.016,225.0,0.0,-0.7689339828220179,-0.02618719362745098
3.316,0.016,225.5,0.0,-0.7715124326268729,-0.025813802083333334
3.333,0.017,225.75,8.823529411764707,-0.7728047084863019,-0.02572045419730392
3.349,0.016,225.0,-0.5514705882352956,-0.7689339828220179,-0.025907149969362744
3.365,0.016,225.0,-6.433823529411765,-0.7689339828220179,-0.02603161381740196
3.382,0.017,225.0,-0.18382352941176522,-0.7689339828220179,-0.02572045419730392
3.398,0.016,225.0,-6.433823529411765,-0.7689339828220179,-0.026000497855392157
3.415,0.017,225.0,-9.375,-0.7689339828220179,-0.025813802083333334
3.431,0.016,225.0,0.0,-0.7689339828220179,-0.025502642463235293
3.447,0.016,225.0,0.0,-0.7689339828220179,-0.025813802083333334
3.464,0.017,225.0,0.0,-0.7689339828220179,-0.0263427734375
3.48,0.016,225.0,0.0,-0.7689339828220179,-0.025844918045343137
3.497,0.017,225.0,0.0,-0.7689339828220179,-0.025751570159313727
3.513,0.016,225.0,0.0,-0.7689339828220179,-0.02578268612132353
3.529,0.016,225.25,3.125,-0.7702221936565072,-0.02578268612132353
3.546,0.017,225.75,9.00735294117647,-0.7728047084863019,-0.025969381893382354
3.562,0.016,225.0,-0.36764705882353044,-0.7689339828220179,-0.02547152650122549
3.578,0.016,225.0,-0.36764705882353044,-0.7689339828220179,-0.025813802083333334
3.595,0.017,225.0,-0.36764705882353044,-0.7689339828220179,-0.025098134957107842
3.611,0.016,225.0,-3.49264705882353,-0.7689339828220179,-0.025564874387254903
3.627,0.016,225.0,-9.375,-0.7689339828220179,-0.025284830729166666
3.644,0.017,225.0,0.0,-0.7689339828220179,-0.02603161381740196
3.66,0.016,225.0,0.0,-0.7689339828220179,-0.026156077665441178
3.676,0.016,225.0,0.0,-0.7689339828220179,-0.02572045419730392
3.692,0.016,225.0,0.0,-0.7689339828220179,-0.026062729779411764
3.709,0.017,225.25,2.941176470588235,-0.7702221936565072,-0.02649835324754902
3.725,0.016,225.25,2.941176470588235,-0.7702221936565072,-0.026467237285539215
3.741,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.025284830729166666
3.758,0.017,225.5,5.698529411764706,-0.7715124326268729,-0.025969381893382354
3.774,0.016,225.0,-0.5514705882352946,-0.7689339828220179,-0.025440410539215686
3.791,0.017,225.5,2.3897058823529407,-0.7715124326268729,-0.026124961703431374
3.807,0.016,225.25,-0.7352941176470594,-0.7702221936565072,-0.02628054151348039
3.823,0.016,225.0,-0.7352941176470594,-0.7689339828220179,-0.02587603400735294
3.84,0.017,225.25,-3.676470588235295,-0.7702221936565072,-0.025440410539215686
3.856,0.016,225.0,-0.5514705882352949,-0.7689339828220179,-0.02562710631127451
3.872,0.016,225.0,-6.433823529411765,-0.7689339828220179,-0.026000497855392157
3.889,0.017,225.0,-3.3088235294117654,-0.7689339828220179,-0.0263427734375
3.905,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.026778396905637256
3.921,0.016,225.25,0.0,-0.7702221936565072,-0.026124961703431374
3.938,0.017,225.75,9.00735294117647,-0.7728047084863019,-0.025907149969362744
3.954,0.016,225.25,2.7573529411764697,-0.7702221936565072,-0.026840628829656862
3.971,0.017,225.0,-0.18382352941176555,-0.7689339828220179,-0.025969381893382354
3.987,0.016,225.0,-0.18382352941176555,-0.7689339828220179,-0.02593826593137255
4.003,0.016,225.75,6.066176470588235,-0.7728047084863019,-0.025844918045343137
4.02,0.017,225.5,-2.75735294117647,-0.7715124326268729,-0.025409294577205883
4.036,0.016,225.0,-2.75735294117647,-0.7689339828220179,-0.02562710631127451
4.053,0.017,225.5,6.0661764705882355,-0.7715124326268729,-0.0255337584252451
4.069,0.016,225.0,-0.1838235294117645,-0.7689339828220179,-0.025502642463235293
4.085,0.016,225.0,-9.558823529411764,-0.7689339828220179,-0.026218309589460784
4.102,0.017,225.5,-0.7352941176470601,-0.7715124326268729,-0.02649835324754902
4.118,0.016,225.0,-0.7352941176470601,-0.7689339828220179,-0.026218309589460784
4.134,0.016,225.0,-6.617647058823531,-0.7689339828220179,-0.026529469209558825
4.151,0.017,225.5,5.51470588235294,-0.7715124326268729,-0.025969381893382354
4.167,0.016,225.25,2.3897058823529407,-0.7702221936565072,-0.02578268612132353
4.184,0.017,225.5,-0.5514705882352942,-0.7715124326268729,-0.02618719362745098
4.2,0.016,225.0,-0.5514705882352942,-0.7689339828220179,-0.02547152650122549
4.216,0.016,225.25,2.5735294117647056,-0.7702221936565072,-0.025813802083333334
4.233,0.017,225.0,-6.25,-0.7689339828220179,-0.02628054151348039
4.249,0.016,225.25,0.0,-0.7702221936565072,-0.026405005361519608
4.266,0.017,225.25,-2.9411764705882346,-0.7702221936565072,-0.025969381893382354
4.282,0.016,225.0,0.18382352941176486,-0.7689339828220179,-0.025284830729166666
4.298,0.016,225.0,-2.941176470588235,-0.7689339828220179,-0.02593826593137255
4.315,0.017,225.25,2.9411764705882346,-0.7702221936565072,-0.0255337584252451
4.331,0.016,225.0,-3.3088235294117654,-0.7689339828220179,-0.026156077665441178
4.347,0.016,225.0,-3.3088235294117654,-0.7689339828220179,-0.026093845741421567
4.364,0.017,225.0,-0.18382352941176486,-0.7689339828220179,-0.02628054151348039
4.38,0.016,225.5,6.066176470588235,-0.7715124326268729,-0.026218309589460784
4.397,0.017,225.5,3.125,-0.7715124326268729,-0.026000497855392157
4.413,0.016,225.0,0.0,-0.7689339828220179,-0.025689338235294117
4.429,0.016,225.0,0.0,-0.7689339828220179,-0.026467237285539215
4.446,0.017,225.0,0.0,-0.7689339828220179,-0.025440410539215686
4.462,0.016,225.0,-6.25,-0.7689339828220179,-0.025409294577205883
4.479,0.017,225.0,-6.25,-0.7689339828220179,-0.026218309589460784
4.495,0.016,225.0,0.0,-0.7689339828220179,-0.025502642463235293
4.511,0.016,225.0,0.0,-0.7689339828220179,-0.02562710631127451
4.528,0.017,225.0,0.0,-0.7689339828220179,-0.02547152650122549
4.544,0.016,225.0,0.0,-0.7689339828220179,-0.025969381893382354
4.56,0.016,225.5,6.25,-0.7715124326268729,-0.026093845741421567
4.577,0.017,225.0,0.3676470588235297,-0.7689339828220179,-0.025595990349264706
4.593,0.016,225.0,0.3676470588235297,-0.7689339828220179,-0.025844918045343137
4.61,0.017,225.0,0.3676470588235297,-0.7689339828220179,-0.025658222273284313
4.626,0.016,225.0,0.3676470588235297,-0.7689339828220179,-0.0263427734375
4.642,0.016,225.0,-5.88235294117647,-0.7689339828220179,-0.025502642463235293
4.659,0.017,225.0,0.0,-0.7689339828220179,-0.026218309589460784
4.675,0.016,225.5,6.25,-0.7715124326268729,-0.0255337584252451
4.692,0.017,225.25,3.3088235294117654,-0.7702221936565072,-0.02562710631127451
4.708,0.016,225.25,3.3088235294117654,-0.7702221936565072,-0.026218309589460784
4.724,0.016,225.0,0.18382352941176486,-0.7689339828220179,-0.026373889399509805
4.741,0.017,225.25,3.1249999999999996,-0.7702221936565072,-0.02643612132352941
4.757,0.016,225.25,-3.125,-0.7702221936565072,-0.026249425551470588
4.773,0.016,225.0,-3.3088235294117654,-0.7689339828220179,-0.02572045419730392
4.79,0.017,225.0,-3.3088235294117654,-0.7689339828220179,-0.025844918045343137
4.806,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.026062729779411764
4.823,0.017,225.0,-3.125,-0.7689339828220179,-0.0263427734375
4.839,0.016,225.25,0.0,-0.7702221936565072,-0.025409294577205883
4.855,0.016,225.0,0.0,-0.7689339828220179,-0.025969381893382354
4.872,0.017,225.0,0.0,-0.7689339828220179,-0.025098134957107842
4.888,0.016,225.0,0.0,-0.7689339828220179,-0.02603161381740196
4.905,0.017,225.25,2.9411764705882346,-0.7702221936565072,-0.02537817861519608
4.921,0.016,225.0,-3.3088235294117654,-0.7689339828220179,-0.025844918045343137
4.937,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.026218309589460784
4.954,0.017,225.0,-0.18382352941176486,-0.7689339828220179,-0.02572045419730392
4.97,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.026124961703431374
4.986,0.016,225.0,-3.125,-0.7689339828220179,-0.025440410539215686
5.003,0.017,225.25,2.941176470588235,-0.7702221936565072,-0.02618719362745098
5.019,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.02603161381740196
5.036,0.017,225.0,-0.18382352941176486,-0.7689339828220179,-0.025409294577205883
5.052,0.016,225.5,6.066176470588235,-0.7715124326268729,-0.02618719362745098
5.068,0.016,225.0,-0.18382352941176486,-0.7689339828220179,-0.026467237285539215
5.085,0.017,225.0,-3.125,-0.7689339828220179,-0.02603161381740196
5.101,0.016,225.5,6.25,-0.7715124326268729,-0.025689338235294117
5.117,0.016,225.0,0.0,-0.7689339828220179,-0.026685049019607842
