time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
0.159,287.0,77.0,-0.025502642463235293,9.803921568627451E-6
0.18,286.5,78.5,0.011556468290441177,9.80392156862745E-4
0.196,286.75,77.0,0.0252474915747549,0.0011470588235294116
0.213,286.25,77.0,0.024967447916666666,-2.2549019607843142E-4
0.229,285.5,77.0,0.017437385110294117,-7.843137254901961E-5
0.245,284.5,77.0,0.014325788909313722,8.823529411764706E-5
0.262,282.5,77.0,0.00209721583946078,2.941176470588235E-5
0.278,280.25,77.0,-0.0032547296262254947,8.823529411764705E-5
0.294,277.25,77.0,-0.007735428155637258,7.843137254901961E-5
0.311,273.5,80.5,-0.008451095281862749,4.901960784313726E-5
0.327,268.5,77.0,-0.005463962928921573,9.803921568627452E-5
0.348,262.0,79.25,-0.01106483609068628,3.9215686274509805E-5
0.364,256.0,78.0,-0.015950042126225493,1.176470588235294E-4
0.38,249.5,78.0,-0.016759057138480395,6.862745098039217E-5
0.401,241.0,80.5,-0.014238664215686278,7.843137254901961E-5
0.417,235.0,79.0,-0.0152032590379902,9.803921568627452E-5
0.434,230.5,79.0,-0.019715073529411764,2.941176470588235E-5
0.45,227.5,79.75,-0.01069144454656863,1.176470588235294E-4
0.466,224.25,80.0,-0.014829867493872552,3.9215686274509805E-5
0.483,220.25,80.0,-0.017723651960784317,1.0784313725490196E-4
0.499,216.25,83.5,-0.01741249234068628,9.803921568627452E-5
0.516,211.5,81.0,-0.016790173100490198,4.901960784313726E-5
0.532,206.0,81.5,-0.015950042126225493,1.0784313725490196E-4
0.548,200.75,82.0,-0.015950042126225493,2.941176470588235E-5
0.565,195.25,85.0,-0.015327722886029415,9.803921568627452E-5
0.581,190.0,92.0,-0.01156269148284314,5.88235294117647E-5
0.598,184.25,95.0,-0.010598096660539218,3.9215686274509805E-5
0.614,179.5,95.0,-0.012651750153186278,1.0784313725490196E-4
0.63,176.25,95.0,-0.014207548253676474,2.941176470588235E-5
0.647,172.5,95.75,-0.014767635569852946,8.823529411764706E-5
0.663,169.5,96.0,-0.01473651960784314,8.823529411764705E-5
0.679,166.25,96.25,-0.012962909773284317,2.941176470588235E-5
0.696,162.5,96.0,-0.011749387254901964,1.3725490196078434E-4
0.712,159.5,96.0,-0.011438227634803925,4.901960784313726E-5
0.729,156.0,96.0,-0.008295515471813729,1.0784313725490196E-4
0.745,153.0,96.0,-0.008793370863970591,9.803921568627452E-5
0.761,150.0,96.0,-0.012122778799019613,2.941176470588235E-5
0.778,147.25,96.0,-0.014798751531862749,1.2745098039215687E-4
0.794,144.25,96.0,-0.015109911151960788,6.862745098039217E-5
0.811,141.25,96.0,-0.013522997089460788,1.1764705882352942E-4
0.827,139.0,96.0,-0.008326631433823534,1.176470588235294E-4
0.843,136.25,95.75,-0.0066152535232843175,8.823529411764706E-5
0.86,133.5,95.0,-0.008513327205882357,1.764705882352941E-4
0.876,129.75,95.5,-0.0055573108149509845,1.666666666666667E-4
0.892,125.5,95.75,-0.007486500459558827,1.5686274509803922E-4
0.909,121.5,95.75,-0.013118489583333337,2.254901960784314E-4
0.925,116.75,96.0,-0.010255821078431376,1.8627450980392157E-4
0.942,112.25,96.0,-0.008793370863970591,1.8627450980392157E-4
0.958,108.0,96.25,-0.007579848345588239,2.352941176470588E-4
0.974,103.5,97.0,-0.009757965686274515,1.3725490196078434E-4
0.991,99.5,97.25,-0.013491881127450985,2.0588235294117648E-4
1.007,95.5,98.0,-0.010038009344362749,1.2745098039215687E-4
1.024,91.0,98.0,-0.007579848345588239,1.0784313725490196E-4
1.04,86.25,99.0,-0.006366325827205887,9.803921568627452E-5
1.056,80.75,99.0,-0.007299804687500004,6.862745098039217E-5
1.073,76.25,101.0,-0.010224705116421573,1.2745098039215687E-4
1.089,71.5,100.0,-0.011469343596813729,6.862745098039217E-5
1.105,67.5,100.0,-0.011780503216911768,1.2745098039215687E-4
1.122,63.75,100.0,-0.014456475949754905,1.0784313725490196E-4
1.138,60.5,100.25,-0.01346076516544118,1.0784313725490196E-4
1.155,57.25,100.75,-0.015794462316176473,1.9607843137254904E-4
1.171,53.5,100.75,-0.015327722886029415,1.5686274509803922E-4
1.187,50.25,101.0,-0.016261201746323534,1.7647058823529413E-4
1.207,46.0,102.75,-0.016510129442401964,2.2549019607843136E-4
1.224,43.0,101.5,-0.017692535998774513,1.9607843137254904E-4
1.24,39.5,102.0,-0.019248334099264706,2.0588235294117648E-4
1.257,36.0,104.0,-0.02015069699754902,1.9607843137254904E-4
1.273,32.75,102.75,-0.02046185661764706,1.9607843137254904E-4
1.29,29.5,103.0,-0.02173761106004902,1.8627450980392157E-4
1.306,26.75,103.0,-0.021986538756127452,1.176470588235294E-4
1.323,24.0,104.0,-0.022733321844362744,1.764705882352941E-4
1.339,21.75,104.25,-0.02428911994485294,9.803921568627452E-5
1.355,22.75,104.5,-0.024569163602941178,1.666666666666667E-4
1.371,23.0,105.0,-0.023822380514705883,1.666666666666667E-4
1.388,22.5,105.0,-0.024071308210784313,1.4705882352941175E-4
1.404,22.75,105.0,-0.024226888020833334,2.4509803921568627E-4
1.421,22.0,105.0,-0.02435135186887255,2.9411764705882356E-4
1.437,22.0,110.0,-0.025160366881127452,2.843137254901961E-4
1.453,22.0,105.0,-0.02469362745098039,3.823529411764706E-4
1.47,22.0,105.0,-0.02444469975490196,3.823529411764706E-4
1.485,22.0,105.25,-0.02537817861519608,3.333333333333333E-4
