time,elbow_angle,shoulder_angle,elbow_current,shoulder_current
0.473,198.25,84.0,-0.037077780330882354,-2.941176470588235E-5
0.493,199.5,83.25,-0.0366732728247549,1.9607843137254903E-5
0.51,200.75,80.0,-0.03577090992647059,0.0012352941176470588
0.526,201.5,80.0,-0.03362390854779412,0.0017254901960784311
0.542,202.0,79.5,-0.0342462277879902,0.001676470588235294
0.559,203.0,81.5,-0.030263384650735293,5.88235294117647E-4
0.575,202.5,79.0,-0.03216145833333333,1.7647058823529413E-4
0.595,202.0,81.25,-0.033997300091911764,3.431372549019608E-4
0.612,202.0,79.0,-0.03455738740808824,2.843137254901961E-4
0.628,201.25,79.75,-0.03527305453431372,3.03921568627451E-4
0.645,200.5,80.25,-0.03536640242034314,2.2549019607843136E-4
0.661,199.25,81.25,-0.03577090992647059,2.1568627450980395E-4
0.677,198.25,81.25,-0.0350552428002451,1.6666666666666666E-4
0.694,196.5,85.0,-0.035895373774509805,1.2745098039215687E-4
0.71,195.25,94.75,-0.03601983762254902,9.803921568627452E-5
0.727,194.25,95.5,-0.03682885263480392,2.941176470588235E-5
0.743,192.5,97.5,-0.036393229166666666,1.0784313725490196E-4
0.759,191.75,97.0,-0.03545975030637255,1.176470588235294E-4
0.776,190.25,97.75,-0.03623764935661765,1.0784313725490196E-4
0.792,189.0,98.0,-0.03626876531862745,8.823529411764705E-5
0.809,188.0,98.75,-0.03654880897671569,9.803921568627451E-6
0.825,187.5,99.0,-0.03692220052083333,1.0784313725490196E-4
0.841,187.0,99.0,-0.0366421568627451,5.88235294117647E-5
0.858,186.0,99.75,-0.037077780330882354,7.843137254901961E-5
0.874,186.0,100.0,-0.03657992493872549,1.176470588235294E-4
0.89,186.0,100.0,-0.03676662071078431,1.9607843137254903E-5
0.907,185.75,100.0,-0.03636211320465686,1.176470588235294E-4
0.923,186.0,100.0,-0.03654880897671569,5.88235294117647E-5
0.94,186.0,101.25,-0.03676662071078431,8.823529411764705E-5
0.956,186.0,100.0,-0.036704388786764706,1.3725490196078434E-4
0.972,186.0,99.25,-0.036393229166666666,8.823529411764706E-5
0.989,186.0,99.0,-0.0366421568627451,1.8627450980392157E-4
1.005,186.0,99.0,-0.036704388786764706,2.2549019607843136E-4
1.022,186.0,99.0,-0.03657992493872549,2.0588235294117648E-4
1.038,185.5,99.0,-0.0366732728247549,2.5490196078431374E-4
1.054,185.0,99.5,-0.03651769301470588,2.9411764705882356E-4
1.071,185.0,99.75,-0.03695331648284314,2.4509803921568627E-4
1.087,184.0,100.0,-0.0366421568627451,2.5490196078431374E-4
1.103,183.25,101.0,-0.036611040900735296,1.9607843137254904E-4
1.12,182.25,103.0,-0.03626876531862745,1.666666666666667E-4
1.136,181.25,102.0,-0.03695331648284314,1.176470588235294E-4
1.152,180.0,102.5,-0.036486577052696076,7.843137254901961E-5
1.169,179.0,103.0,-0.0366421568627451,9.803921568627452E-5
1.185,179.0,103.5,-0.03645546109068627,2.941176470588235E-5
1.202,178.25,104.0,-0.03651769301470588,1.1764705882352942E-4
1.218,178.0,104.0,-0.03682885263480392,3.9215686274509805E-5
1.234,178.0,104.0,-0.036611040900735296,8.823529411764705E-5
1.251,177.0,104.5,-0.03657992493872549,1.4705882352941178E-4
1.267,177.0,105.0,-0.03679773667279412,8.823529411764706E-5
1.283,176.0,105.0,-0.0366421568627451,1.862745098039216E-4
1.299,175.5,105.0,-0.03657992493872549,2.254901960784314E-4
1.315,174.75,107.75,-0.03651769301470588,1.9607843137254904E-4
1.332,174.0,105.25,-0.03673550474877451,2.745098039215687E-4
1.348,174.0,105.0,-0.03692220052083333,2.5490196078431374E-4
1.365,173.25,105.75,-0.036611040900735296,2.5490196078431374E-4
1.381,173.0,106.0,-0.03685996859681372,3.03921568627451E-4
1.397,172.75,112.0,-0.03657992493872549,2.3529411764705883E-4
1.415,171.75,118.5,-0.03642434512867647,2.4509803921568627E-4
1.431,170.75,119.0,-0.036704388786764706,1.9607843137254904E-4
